vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,7826,4.333,15.0,0.271,1.284,0.435
100,15152,3.667,13.333,0.462,2.271,3.291
150,27330,4.333,20.0,0.754,4.753,10.526
200,44390,6.333,16.333,2.086,7.493,15.294
250,66416,4.667,24.0,2.954,17.542,3.358
300,93149,6.667,14.333,5.852,15.542,55.228
350,124950,5.333,6.0,5.178,8.235,4.704
400,161522,6.333,33.0,8.992,58.529,108.419
450,203095,5.667,19.0,10.78,37.527,31.535
500,249500,5.0,8.0,14.508,29.236,21.102
