vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,516,10.333,10.333,0.02,0.026,0.031
100,2029,4.667,4.0,0.042,0.05,0.082
150,4604,5.333,11.0,0.128,0.352,1.293
200,8039,6.667,11.0,0.313,0.686,0.455
250,12633,5.667,7.0,0.399,0.724,2.861
300,18212,7.667,4.0,1.167,0.682,0.57
350,24878,8.333,18.667,1.634,4.425,5.116
400,32032,7.0,8.667,1.761,3.208,11.648
450,40742,8.333,5.0,3.412,2.093,0.77
500,50775,5.333,28.667,3.348,17.721,37.927
