vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,3111,4.333,4.0,0.054,0.071,0.115
200,6157,3.667,18.0,0.17,0.947,1.015
300,9306,4.0,6.0,0.231,0.467,1.514
400,12331,3.667,20.667,0.387,2.91,3.803
500,15536,5.667,15.333,0.963,3.294,3.818
600,18677,4.0,21.0,0.811,5.211,1.958
700,21642,6.667,18.0,1.369,5.003,2.319
800,24869,4.667,39.0,1.381,15.129,23.02
900,27945,3.0,11.0,0.852,4.568,27.633
1000,31224,5.333,19.0,2.2,10.656,42.54
