vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,7826,4.333,15.0,0.625,2.418,0.304
100,15152,3.667,13.333,0.914,3.981,3.034
150,27330,4.333,20.0,1.938,10.298,9.826
200,44390,6.333,16.333,5.096,14.508,14.085
250,66416,4.667,24.0,6.249,33.548,3.239
300,93149,6.667,14.333,12.751,29.295,50.593
350,124950,5.333,6.0,12.774,16.506,4.258
400,161522,6.333,33.0,22.811,120.809,103.153
450,203095,5.667,19.0,24.64,80.178,28.293
500,249500,5.0,8.0,28.296,49.956,19.106
