vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,990,4.667,3.667,0.053,0.053,0.024
100,4060,6.333,12.333,0.361,0.756,0.586
150,9050,6.333,15.0,0.902,2.276,1.128
200,16105,5.0,18.0,1.259,5.09,1.899
250,24983,6.667,7.0,2.922,3.196,6.18
300,36112,7.333,17.0,4.987,12.02,5.315
350,49081,5.0,16.0,4.402,15.747,21.611
400,64110,6.667,9.333,8.949,13.158,8.608
450,80988,5.333,10.0,8.545,17.521,47.418
500,100164,4.0,10.667,7.122,22.749,3.333
