vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,4076,5.333,9.333,0.304,0.564,0.141
200,8057,4.667,14.0,0.622,1.997,1.264
300,12368,4.667,10.0,1.018,2.37,0.735
400,16192,7.333,19.333,2.25,6.065,3.662
500,20601,9.0,11.333,3.991,5.035,5.344
600,24532,6.0,15.0,2.994,8.44,0.626
700,28771,5.333,5.0,3.323,3.358,1.521
800,32552,5.333,15.0,3.838,11.372,11.987
900,36826,5.333,16.0,4.306,15.551,50.636
1000,40883,4.667,36.0,4.271,40.268,55.99
