vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,1465,1.667,3.667,0.008,0.035,0.031
100,5952,1.667,7.0,0.042,0.277,0.864
150,13556,1.667,13.333,0.107,1.324,2.795
200,24106,1.0,19.0,0.092,3.588,7.235
250,37407,1.667,12.0,0.389,3.608,3.613
300,53939,1.333,7.0,0.486,3.786,24.006
350,73359,1.333,12.0,0.564,8.945,3.691
400,95859,1.0,4.0,0.499,4.493,3.358
450,121522,1.667,12.0,1.77,18.269,46.048
500,149867,1.0,22.0,0.982,41.459,86.471
