vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,5113,2.0,11.0,0.051,0.35,0.298
200,10187,1.667,4.0,0.08,0.297,1.409
300,15216,2.0,12.667,0.233,2.01,0.562
400,20506,1.667,4.0,0.238,0.887,5.731
500,25614,2.0,24.0,0.489,8.541,15.522
600,30481,1.333,18.0,0.324,7.475,14.281
700,35527,2.0,26.667,0.661,13.832,18.03
800,40619,1.333,17.667,0.598,12.678,56.315
900,46054,2.0,23.0,0.971,16.663,24.217
1000,50962,2.0,22.0,1.409,17.832,17.382
