vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,7826,2.0,18.0,0.213,2.837,0.276
100,15152,4.0,13.0,1.069,3.935,3.022
150,27330,2.0,20.0,0.684,10.071,9.205
200,44390,1.667,19.0,0.857,17.039,13.755
250,66416,2.0,26.0,2.086,36.442,3.066
300,93149,1.333,13.0,1.378,26.333,50.157
350,124950,1.333,6.0,1.607,16.419,4.888
400,161522,1.333,36.0,2.357,122.373,92.682
450,203095,1.0,19.0,1.139,77.056,26.957
500,249500,1.333,7.667,4.038,45.9,18.269
