vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,990,2.667,3.667,0.031,0.051,0.033
100,4060,1.333,13.0,0.04,0.782,0.479
150,9050,1.667,12.667,0.144,1.917,1.173
200,16105,1.333,14.0,0.157,3.954,1.842
250,24983,1.333,7.0,0.28,3.195,6.418
300,36112,1.667,15.0,0.699,10.454,4.776
350,49081,2.0,16.0,1.349,15.855,21.833
400,64110,1.667,9.333,1.553,13.79,9.192
450,80988,1.667,13.333,1.879,23.952,52.425
500,100164,1.333,8.0,1.332,17.875,3.727
