vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,3111,1.333,4.0,0.019,0.183,0.094
200,6157,2.0,18.0,0.17,2.033,1.008
300,9306,2.0,6.0,0.23,1.017,1.518
400,12331,2.0,21.0,0.353,5.537,3.477
500,15536,1.667,12.0,0.343,4.172,3.525
600,18677,2.0,21.0,0.638,9.047,2.062
700,21642,1.667,18.0,0.486,8.862,2.127
800,24869,1.667,54.0,0.67,34.251,20.814
900,27945,2.0,13.333,0.968,9.468,24.701
1000,31224,1.667,19.0,0.913,16.515,39.425
